"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"AE1","Wire 173mm","TestPoint:TestPoint_Pad_D2.0mm","1","Штыревая антенна: провод 17,3 см"
"C1","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Фильтр питания приёмника"
"C2","100n","Capacitor_SMD:C_0805_2012Metric","1","ВЧ-развязка"
"D1","LED yellow","LED_SMD:LED_0805_2012Metric","1","Мигает при приёме данных"
"FB1","600R@100MHz","Inductor_SMD:L_0805_2012Metric","1","Ферритовая бусина — фильтр помех питания"
"J1","RX433 module","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","Гнездо под модуль: VCC, DATA, GND, ANT (сверьте с вашим модулем)"
"J2","MCU","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","К микроконтроллеру: 5V, DATA, GND"
"Q1","BC547","Package_TO_SOT_THT:TO-92_Inline","1","Ключ индикатора"
"R1","10k","Resistor_SMD:R_0805_2012Metric","1","Ток базы (не нагружает выход модуля)"
"R2,R3","1k","Resistor_SMD:R_0805_2012Metric","2","Защитный резистор выхода,Ток светодиода"
