"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","100n","Capacitor_SMD:C_0805_2012Metric","1","Развязка"
"D1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","Защитный диод"
"J1","PWR 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Питание"
"J2","FAN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.08mm_Horizontal","1","Коммутируемая нагрузка"
"K1","SRD-05VDC-SL-C","","1","Реле (контакт NC не используется)"
"Q1","BC547","Package_TO_SOT_THT:TO-92_Inline","1","Ключ"
"R1,R4","10k","Resistor_SMD:R_0805_2012Metric","2","Верхнее плечо,Подтяжка выхода"
"R2","4k7","Resistor_SMD:R_0805_2012Metric","1","Ток базы"
"R5","1M","Resistor_SMD:R_0805_2012Metric","1","Гистерезис"
"RV1","10k","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","1","Уставка температуры"
"TH1","NTC 10k B3950","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","1","Терморезистор (нижнее плечо) — при нагреве сопротивление падает"
"U1","LM393","Package_DIP:DIP-8_W7.62mm","1","Компаратор: при TEMP < SET выход отпущен (высокий уровень) — реле включено"
