"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","4u7","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Времязадающий"
"C2","10n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","Фильтр CV"
"C3","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","Развязка"
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10","LED","LED_THT:LED_D5.0mm","10","Светодиод 1,Светодиод 10,Светодиод 2,Светодиод 3,Светодиод 4,Светодиод 5,Светодиод 6,Светодиод 7,Светодиод 8,Светодиод 9"
"J1","PWR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Питание 5–12 В"
"R1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","R1"
"R2","680","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","Общий резистор светодиодов"
"RV1","100k","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","1","Скорость бега"
"U1","NE555","Package_DIP:DIP-8_W7.62mm","1","Генератор"
"U2","CD4017","Package_DIP:DIP-16_W7.62mm","1","Счётчик"
