"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","100n","Capacitor_SMD:C_0805_2012Metric","1","Развязка"
"D1,D2","LED white","LED_THT:LED_D5.0mm","2","Светодиод 1,Светодиод 2"
"J1","PWR 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Питание"
"Q1","AO3400A","Package_TO_SOT_SMD:SOT-23","1","Ключ"
"R1","GL5528","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","1","Фоторезистор (верхнее плечо)"
"R2,R3","10k","Resistor_SMD:R_0805_2012Metric","2","Нижнее плечо делителя,Подтяжка открытого коллектора"
"R4","1M","Resistor_SMD:R_0805_2012Metric","1","Гистерезис"
"R5","100","Resistor_SMD:R_0805_2012Metric","1","Ток светодиодов (≈2×15 мА)"
"RV1","10k","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","1","Порог"
"U1","LM393","Package_DIP:DIP-8_W7.62mm","1","Компаратор; B не используется"
