"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","10u","Capacitor_SMD:C_0805_2012Metric","1","Вход LDO"
"C2","22u","Capacitor_SMD:C_0805_2012Metric","1","Выход LDO"
"C3","100n","Capacitor_SMD:C_0805_2012Metric","1","Развязка модуля"
"C4","1u","Capacitor_SMD:C_0805_2012Metric","1","Задержка EN"
"D1","LED blue","LED_SMD:LED_0805_2012Metric","1","Статус Wi-Fi"
"J1","5V IN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Питание 5 В"
"J2","UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","К USB-UART адаптеру (3,3 В!): 3V3, TX модуля, RX модуля, GND"
"R1,R2","10k","Resistor_SMD:R_0805_2012Metric","2","Подтяжка EN,Подтяжка IO0"
"R3","4k7","Resistor_SMD:R_0805_2012Metric","1","Подтяжка 1-Wire"
"R4","1k","Resistor_SMD:R_0805_2012Metric","1","Светодиод"
"SW1","EN","Button_Switch_THT:SW_PUSH_6mm","1","Сброс"
"SW2","BOOT","Button_Switch_THT:SW_PUSH_6mm","1","Прошивка"
"U1","ESP32-WROOM-32E","RF_Module:ESP32-WROOM-32D","1","Модуль"
"U2","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","1","LDO"
"U3","DS18B20","Package_TO_SOT_THT:TO-92_Inline","1","Датчик температуры"
