"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1,C2","1u","Capacitor_SMD:C_0805_2012Metric","2","Разделительный L,Разделительный R"
"C3","47u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Фильтр опоры"
"C4,C5","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2","Выходной L,Выходной R"
"C6","100n","Capacitor_SMD:C_0805_2012Metric","1","Развязка ОУ"
"J1","IN","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","Вход: L, R, GND"
"J2","OUT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","Выход: L, R, GND"
"J3","PWR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Питание 5–12 В"
"R1,R2","10k","Resistor_SMD:R_0805_2012Metric","2","Опора VCC/2"
"RV1,RV2","A10k","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","2","Громкость L (секция сдвоенного потенциометра),Громкость R"
"U1","LM358","Package_DIP:DIP-8_W7.62mm","1","Два повторителя"
