"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"D1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1","Защитный диод"
"D2","LED red","LED_SMD:LED_0805_2012Metric","1","Реле включено"
"J1","CTRL","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","VCC, IN, GND"
"J2","LOAD","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.08mm_Horizontal","1","Контакты: NO, COM, NC"
"K1","SRD-05VDC-SL-C","","1","Реле 5 В"
"Q1","BC547","Package_TO_SOT_THT:TO-92_Inline","1","Ключ катушки"
"R1,R4","1k","Resistor_SMD:R_0805_2012Metric","2","Индикатор,Ток светодиода оптопары ≈ 2–4 мА"
"R2","2k2","Resistor_SMD:R_0805_2012Metric","1","Ток базы"
"R3","10k","Resistor_SMD:R_0805_2012Metric","1","Закрывает транзистор"
"U1","PC817","Package_DIP:DIP-4_W7.62mm","1","Оптопара"
