"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","100u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","Входной фильтр"
"C2","100n","Capacitor_SMD:C_0805_2012Metric","1","Выход 7805"
"C3","22u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Выход AMS1117"
"D1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1","Защита от переполюсовки"
"D2","LED red","LED_SMD:LED_0805_2012Metric","1","Есть 5 В"
"D3","LED green","LED_SMD:LED_0805_2012Metric","1","Есть 3,3 В"
"J1","IN 7-12V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.08mm_Horizontal","1","Вход"
"J2","OUT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","Выход: 5 В, 3,3 В, GND"
"R1","1k","Resistor_SMD:R_0805_2012Metric","1","Индикатор 5 В"
"R2","470","Resistor_SMD:R_0805_2012Metric","1","Индикатор 3,3 В"
"U1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical","1","Стабилизатор 5 В"
"U2","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","Стабилизатор 3,3 В"
